категория книг,название,Магазин,цена,количество страниц,визуальная привлекательность (1 - 5),качество обложки (1 - 5),качество переплёта (1 - 5),качество бумаги (1 - 5),качество печати (1 - 5),формат книги,цена(лабиринт),цена(book24.ru),цена(буквоед)
популярные бестселлеры,как ты умрёшь,Читай-город,579,350,3,4,3,4,4,1,587,587,587
популярные бестселлеры,девы,Читай-город,579,348,3,2,2,4,4,1,587,,
популярные бестселлеры,Гарри Поттер принц полукровка,Читай-город,1064,687,5,5,5,5,5,2,-,903,932
популярные бестселлеры,тысяча сияющих солнц,Читай-город,852,415,4,5,3,4,5,1,,,
популярные бестселлеры,ход королевы,Читай-город,531,351,3,4,3,4,3,1,660,469,
популярные бестселлеры,дневник дебильного кота,Читай-город,337,160,4,4,4,4,5,0,451,307,353
популярные бестселлеры,вторая жизнь уве,Читай-город,781,379,3,4,3,4,4,1,746,557,669
популярные бестселлеры,мемуары гейши,Читай-город,497,412,3,4,4,4,3,1,659,443,443
популярные бестселлеры,книжная жизнь Нины хилл,Читай-город,497,383,5,5,4,3,4,1,687,469,466
популярные бестселлеры,куриный бульон для души,Читай-город,376,463,5,4,4,4,5,1,-,-,-
научно-популярная литература,одиноки ли мы во вселенной,Читай-город,603,282,3,4,4,4,4,1,-,-,690
научно-популярная литература,химия для тех кто всё забыл,Читай-город,450,381,4,4,4,2,2,1,604,404,408
научно-популярная литература,теория всего,Читай-город,300,252,5,3,3,3,3,0,407,260,264
научно-популярная литература,сборник занимательных задач,Читай-город,747,400,2,4,3,3,3,2,895,620,624
научно-популярная литература,феймановские лекции по физике квант. мех.,Читай-город,906,523,4,4,4,3,3,2,,,
научно-популярная литература,тайный язык цветов,Читай-город,778,127,5,5,2,5,3,2,,568,
научно-популярная литература,что скрывает кожа,Читай-город,695,350,2,1,4,3,4,2,716,537,716
научно-популярная литература,как изобрести всё,Читай-город,890,565,3,4,4,4,4,1,923,729,923
научно-популярная литература,происхождение и эволюция галактик,Читай-город,840,223,4,4,3,3,3,1,1444,,
научно-популярная литература,zero waste на практике,Читай-город,1004,214,5,4,4,5,4,1,-,790,790
классика,доктор живаго,Читай-город,815,541,3,4,3,5,3,1,650,727,703
классика,на западном фронте без перемен,Читай-город,256,286,3,3,2,3,4,0,357,228,227
классика,лето господне,Читай-город,926,925,5,5,4,5,4,2,,,
классика,Замятин большое собрание повестей,Читай-город,722,636,3,4,4,2,1,2,650,574,654
классика,Мастер и Маргарита,Читай-город,259,415,4,4,3,2,2,1,407,240,264
классика,человек который смеётся,Читай-город,245,700,5,4,3,2,2,1,357,205,241
классика,великий гетсби,Читай-город,421,255,5,5,1,4,4,1,537,358,359
классика,вор,Читай-город,338,779,3,2,3,3,3,0,-,435,414
классика,жизнь прекрасна!,Читай-город,350,331,5,5,3,3,3,1,302,293,312
классика,тихий Дон 3-4 том,Читай-город,580,831,4,3,3,4,2,2,668,560,671
научно-популярная литература,человек в космосе,Книжный лабиринт,1210,253,4,5,4,3,4,1,895,606,704
научно-популярная литература,100 великих рекордов авиации и космонавтики,Книжный лабиринт,820,432,4,4,3,3,4,2,302,-,255
научно-популярная литература,Sapiens краткая история человечества ,Книжный лабиринт,1640,512,5,4,3,4,3,1,1058,762,640
научно-популярная литература,большое космическое путешествие,Книжный лабиринт,2020,480,5,4,4,4,5,2,942,798,954
научно-популярная литература,тайны квантового мира,Книжный лабиринт,2420,158,5,5,5,5,5,3,-,1230,1209
научно-популярная литература,эта идея должна умереть,Книжный лабиринт,1070,736,3,3,3,4,4,2,,,
научно-популярная литература,Луна история будущего,Книжный лабиринт,1550,368,4,5,4,3,4,1,-,-,799
научно-популярная литература,блюз черных дыр и другие мелодии космоса,Книжный лабиринт,1720,288,5,4,4,3,4,1,1407,974,999
научно-популярная литература,химия прочитать и дописать книгу природы ,Книжный лабиринт,920,192,3,4,3,5,5,0,374,-,-
научно-популярная литература,статистика для всех,Книжный лабиринт,4300,586,5,4,3,5,5,2,2580,-,-
классика,улисс,Книжный лабиринт,3850,1134,4,4,3,4,4,2,2287,1872,1815
классика,божественная комедия,Книжный лабиринт,2350,432,5,5,3,4,5,3,,,
классика,Ромео и Джульетта ,Книжный лабиринт,2690,224,5,5,5,5,5,1,,,
классика,нежные юноши,Книжный лабиринт,1670,968,5,4,4,5,5,2,,,
классика,Дон кихот,Книжный лабиринт,4930,600,5,5,5,5,5,3,3650,-,-
классика,двенадцать стульев,Книжный лабиринт,780,448,4,3,3,4,4,0,,615,615
классика,Бунин полное собрание повестей и рассказов о любви,Книжный лабиринт,1280,704,5,4,5,3,3,1,,,
классика,талисман и другие истории,Книжный лабиринт,2270,224,5,5,5,5,5,0,677,,
классика,дети капитана гранта ,Книжный лабиринт,1010,646,3,4,3,4,4,1,666,,
классика,король лир,Книжный лабиринт,1580,543,5,5,4,5,5,1,,,
популярные бестселлеры,рассвет,Книжный лабиринт,1330,608,3,4,3,3,4,1,,,
популярные бестселлеры,дураки умирают,Книжный лабиринт,1260,576,5,4,4,4,5,1,,,
популярные бестселлеры,сто лет и чемодан денег в придачу,Книжный лабиринт,1470,416,3,4,5,3,5,1,,,
популярные бестселлеры,"суп, второе и компот",Книжный лабиринт,890,352,5,4,5,4,5,1,,,
популярные бестселлеры,черные кувшинки,Книжный лабиринт,1520,448,3,5,4,5,5,1,,,
популярные бестселлеры,"безпринцыпные истории, полузащитник родины",Книжный лабиринт,950,253,5,4,5,4,4,0,,,
популярные бестселлеры,четыре ветра,Книжный лабиринт,1620,448,5,5,3,4,4,1,,,
популярные бестселлеры,долгая ночь,Книжный лабиринт,1160,288,5,5,5,4,4,1,,,
популярные бестселлеры,предел,Книжный лабиринт,1080,352,4,3,5,2,4,1,,,
популярные бестселлеры,книга утраченных имён,Книжный лабиринт,1610,480,5,5,5,4,5,1,,,